wall_time,sim_time,teleop_active,ros_fresh,position_error_mm,orientation_error_deg,target_linear_speed_mps,target_angular_speed_radps,raw_max_qdot_radps,cmd_max_qdot_radps,qdot_saturated,jacobian_condition,max_q_command_error_rad,deadline_misses
5659.916146895,66.1499999999518,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,101
5659.926785253,66.15999999995185,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,101
5659.936440045,66.1699999999519,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,101
5659.948395859,66.17999999995195,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,102
5659.956457685,66.189999999952,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,104
5659.966368299,66.19999999995204,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,104
5659.976403829,66.20999999995209,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,104
5659.986439001,66.21999999995214,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,108
5659.996374525,66.22999999995218,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,108
5660.006458994,66.23999999995223,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,108
5660.017908561,66.24999999995228,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,111
5660.026398043,66.25999999995233,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,113
5660.036220126,66.26999999995238,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,113
5660.046350158,66.27999999995242,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,113
5660.056457974,66.28999999995247,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,117
5660.066351575,66.29999999995252,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,117
5660.07679665,66.30999999995257,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,117
5660.086998944,66.31999999995261,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,121
5660.096206959,66.32999999995266,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,122
5660.106241821,66.33999999995271,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,122
5660.117125375,66.34999999995276,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,124
5660.126883092,66.3599999999528,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.009470873557058779,126
